Time,A,B,C
8980,99114,9114,886
8990,99102,9102,898
9000,99083,9083,917
9010,99098,9098,902
9020,99094,9094,906
9030,99103,9103,897
9040,99103,9103,897
9050,99112,9112,888
9060,99117,9117,883
9070,99122,9122,878
9080,99098,9098,902
9090,99102,9102,898
9100,99108,9108,892
9110,99102,9102,898
9120,99096,9096,904
9130,99104,9104,896
9140,99116,9116,884
9150,99099,9099,901
9160,99102,9102,898
9170,99105,9105,895
9180,99095,9095,905
9190,99090,9090,910
9200,99085,9085,915
9210,99101,9101,899
9220,99073,9073,927
9230,99073,9073,927
9240,99081,9081,919
9250,99090,9090,910
9260,99092,9092,908
9270,99115,9115,885
9280,99125,9125,875
9290,99107,9107,893
9300,99092,9092,908
9310,99069,9069,931
9320,99048,9048,952
9330,99046,9046,954
9340,99061,9061,939
9350,99050,9050,950
9360,99056,9056,944
9370,99050,9050,950
9380,99078,9078,922
9390,99105,9105,895
9400,99100,9100,900
9410,99104,9104,896
9420,99107,9107,893
9430,99114,9114,886
9440,99110,9110,890
9450,99080,9080,920
9460,99044,9044,956
9470,99041,9041,959
9480,99063,9063,937
9490,99065,9065,935
9500,99047,9047,953
9510,99042,9042,958
9520,99062,9062,938
9530,99069,9069,931
9540,99074,9074,926
9550,99104,9104,896
9560,99120,9120,880
9570,99125,9125,875
9580,99139,9139,861
9590,99118,9118,882
9600,99124,9124,876
9610,99124,9124,876
9620,99098,9098,902
9630,99097,9097,903
9640,99123,9123,877
9650,99113,9113,887
9660,99119,9119,881
9670,99119,9119,881
9680,99134,9134,866
9690,99125,9125,875
9700,99124,9124,876
9710,99132,9132,868
9720,99134,9134,866
9730,99125,9125,875
9740,99119,9119,881
9750,99119,9119,881
9760,99116,9116,884
9770,99131,9131,869
9780,99113,9113,887
9790,99098,9098,902
9800,99091,9091,909
9810,99088,9088,912
9820,99103,9103,897
9830,99126,9126,874
9840,99109,9109,891
9850,99114,9114,886
9860,99122,9122,878
9870,99120,9120,880
9880,99119,9119,881
9890,99129,9129,871
9900,99122,9122,878
9910,99119,9119,881
9920,99128,9128,872
9930,99126,9126,874
9940,99131,9131,869
9950,99124,9124,876
9960,99114,9114,886
9970,99103,9103,897
9980,99105,9105,895
9990,99096,9096,904
10000,99077,9077,923
