Time\ number,r2_1_100,r1_2_200,Time\ Probability,r2_1_100,r1_2_200
3710,9057,957.0,3710,0.0009895897420891789,0.009900990099009901
3720,9047,968.0,3720,0.000989489939899228,0.009900990099009901
3730,9066,939.0,3730,0.000989679564043085,0.009900990099009901
3740,9076,936.0,3740,0.0009897793661951485,0.009900990099009901
3750,9063,944.0,3750,0.0009896496233935776,0.009900990099009901
3760,9062,950.0,3760,0.0009896396431766763,0.009900990099009901
3770,9048,966.0,3770,0.0009894999201191205,0.009900990099009901
3780,9050,960.0,3780,0.0009895198805583072,0.009900990099009901
3790,9048,958.0,3790,0.0009894999201191205,0.009900990099009901
3800,9058,954.0,3800,0.000989599722307077,0.009900990099009901
3810,9048,964.0,3810,0.0009894999201191205,0.009900990099009901
3820,9059,957.0,3820,0.000989609702524776,0.009900990099009901
3830,9039,971.0,3830,0.0009894100981329102,0.009900990099009901
3840,9056,957.0,3840,0.0009895797618710812,0.009900990099009901
3850,9069,943.0,3850,0.000989709504690798,0.009900990099009901
3860,9078,932.0,3860,0.0009897993266231682,0.009900990099009901
3870,9075,934.0,3870,0.0009897693859808397,0.009900990099009901
3880,9065,946.0,3880,0.000989669583826782,0.009900990099009901
3890,9054,957.0,3890,0.0009895598014342873,0.009900990099009901
3900,9044,971.0,3900,0.0009894599992383542,0.009900990099009901
3910,9021,992.0,3910,0.0009892304541120336,0.009900990099009901
3920,9059,952.0,3920,0.000989609702524776,0.009900990099009901
3930,9062,943.0,3930,0.0009896396431766763,0.009900990099009901
3940,9070,939.0,3940,0.0009897194849063033,0.009900990099009901
3950,9064,944.0,3950,0.0009896596036102795,0.009900990099009901
3960,9047,957.0,3960,0.000989489939899228,0.009900990099009901
3970,9056,950.0,3970,0.0009895797618710812,0.009900990099009901
3980,9057,954.0,3980,0.0009895897420891789,0.009900990099009901
3990,9067,945.0,3990,0.000989689544259189,0.009900990099009901
4000,9056,955.0,4000,0.0009895797618710812,0.009900990099009901
4010,9044,964.0,4010,0.0009894599992383542,0.009900990099009901
4020,9046,965.0,4020,0.0009894799596791364,0.009900990099009901
4030,9055,955.0,4030,0.0009895697816527838,0.009900990099009901
4040,9055,953.0,4040,0.0009895697816527838,0.009900990099009901
4050,9070,946.0,4050,0.0009897194849063033,0.009900990099009901
4060,9069,939.0,4060,0.000989709504690798,0.009900990099009901
4070,9053,958.0,4070,0.0009895498212155913,0.009900990099009901
4080,9079,928.0,4080,0.0009898093068368792,0.009900990099009901
4090,9080,932.0,4090,0.0009898192870503905,0.009900990099009901
4100,9077,931.0,4100,0.000989789346409258,0.009900990099009901
4110,9090,920.0,4110,0.000989919089174537,0.009900990099009901
4120,9117,892.0,4120,0.0009901885548101287,0.009900990099009901
4130,9092,917.0,4130,0.0009899390495969735,0.009900990099009901
4140,9107,909.0,4140,0.0009900887527398224,0.009900990099009901
4150,9111,899.0,4150,0.0009901286735703376,0.009900990099009901
4160,9116,895.0,4160,0.0009901785746039954,0.009900990099009901
4170,9111,897.0,4170,0.0009901286735703376,0.009900990099009901
4180,9108,902.0,4180,0.0009900987329477503,0.009900990099009901
4190,9100,906.0,4190,0.0009900188912787427,0.009900990099009901
4200,9094,914.0,4200,0.0009899590100186121,0.009900990099009901
4210,9099,908.0,4210,0.0009900089110692195,0.009900990099009901
4220,9090,916.0,4220,0.000989919089174537,0.009900990099009901
4230,9104,902.0,4230,0.0009900588121148418,0.009900990099009901
4240,9090,920.0,4240,0.000989919089174537,0.009900990099009901
4250,9098,908.0,4250,0.0009899989308594969,0.009900990099009901
4260,9071,936.0,4260,0.0009897294651216096,0.009900990099009901
4270,9074,938.0,4270,0.0009897594057663311,0.009900990099009901
4280,9084,932.0,4280,0.0009898592079024418,0.009900990099009901
4290,9089,922.0,4290,0.0009899091089630196,0.009900990099009901
4300,9096,915.0,4300,0.0009899789704394533,0.009900990099009901
4310,9098,909.0,4310,0.0009899989308594969,0.009900990099009901
4320,9099,907.0,4320,0.0009900089110692195,0.009900990099009901
4330,9076,937.0,4330,0.0009897793661951485,0.009900990099009901
4340,9052,957.0,4340,0.000989539840996696,0.009900990099009901
4350,9038,966.0,4350,0.000989400117911223,0.009900990099009901
4360,9030,980.0,4360,0.000989320276130548,0.009900990099009901
4370,9063,952.0,4370,0.0009896496233935776,0.009900990099009901
4380,9035,970.0,4380,0.0009893701772449657,0.009900990099009901
