Time\ number,r2_1_100,r2_1_200,r1_1_300,r1_1_400,Time\ Probability,r2_1_100,r2_1_200,r1_1_300,r1_1_400
379600,974,974,1027.0,974.0,379600,0.00010258947431993479,0.00010258947431993479,9.99990000099999e-06,9.99990000099999e-06
379700,983,982,1017.0,983.0,379700,0.00010168965816176495,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
379800,983,983,1017.0,983.0,379800,0.00010168965816176495,0.00010168965816176495,9.99990000099999e-06,9.99990000099999e-06
379900,977,977,1023.0,977.0,379900,0.00010228953578048966,0.00010228953578048966,9.99990000099999e-06,9.99990000099999e-06
380000,977,977,1023.0,977.0,380000,0.00010228953578048966,0.00010228953578048966,9.99990000099999e-06,9.99990000099999e-06
380100,980,980,1020.0,980.0,380100,0.00010198959706109978,0.00010198959706109978,9.99990000099999e-06,9.99990000099999e-06
380200,980,980,1020.0,980.0,380200,0.00010198959706109978,0.00010198959706109978,9.99990000099999e-06,9.99990000099999e-06
380300,983,983,1017.0,983.0,380300,0.00010168965816176495,0.00010168965816176495,9.99990000099999e-06,9.99990000099999e-06
380400,982,982,1018.0,982.0,380400,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
380500,981,981,1019.0,981.0,380500,0.00010188961744798205,0.00010188961744798205,9.99990000099999e-06,9.99990000099999e-06
380600,983,983,1017.0,983.0,380600,0.00010168965816176495,0.00010168965816176495,9.99990000099999e-06,9.99990000099999e-06
380700,979,979,1021.0,979.0,380700,0.0001020895766542236,0.0001020895766542236,9.99990000099999e-06,9.99990000099999e-06
380800,987,987,1013.0,987.0,380800,0.00010128973934940391,0.00010128973934940391,9.99990000099999e-06,9.99990000099999e-06
380900,984,984,1016.0,984.0,380900,0.00010158967848866555,0.00010158967848866555,9.99990000099999e-06,9.99990000099999e-06
381000,998,998,1002.0,998.0,381000,0.0001001899609659112,0.0001001899609659112,9.99990000099999e-06,9.99990000099999e-06
381100,999,999,1001.0,999.0,381100,0.0001000899809929026,0.0001000899809929026,9.99990000099999e-06,9.99990000099999e-06
381200,992,992,1008.0,992.0,381200,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
381300,985,985,1015.0,985.0,381300,0.00010148969879557225,0.00010148969879557225,9.99990000099999e-06,9.99990000099999e-06
381400,985,985,1015.0,985.0,381400,0.00010148969879557225,0.00010148969879557225,9.99990000099999e-06,9.99990000099999e-06
381500,991,991,1009.0,991.0,381500,0.00010088982021714009,0.00010088982021714009,9.99990000099999e-06,9.99990000099999e-06
381600,984,984,1016.0,984.0,381600,0.00010158967848866555,0.00010158967848866555,9.99990000099999e-06,9.99990000099999e-06
381700,972,972,1028.0,972.0,381700,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
381800,961,961,1039.0,961.0,381800,0.00010388920591150579,0.00010388920591150579,9.99990000099999e-06,9.99990000099999e-06
381900,961,961,1039.0,961.0,381900,0.00010388920591150579,0.00010388920591150579,9.99990000099999e-06,9.99990000099999e-06
382000,963,963,1037.0,963.0,382000,0.00010368924742504205,0.00010368924742504205,9.99990000099999e-06,9.99990000099999e-06
382100,959,959,1041.0,959.0,382100,0.0001040891643179945,0.0001040891643179945,9.99990000099999e-06,9.99990000099999e-06
382200,966,965,1035.0,966.0,382200,0.000103389309545393,0.00010348928885860313,9.99990000099999e-06,9.99990000099999e-06
382300,971,971,1029.0,971.0,382300,0.0001028894126794353,0.0001028894126794353,9.99990000099999e-06,9.99990000099999e-06
382400,963,962,1038.0,962.0,382400,0.00010368924742504205,0.0001037892266782708,9.99990000099999e-06,9.99990000099999e-06
382500,961,961,1039.0,961.0,382500,0.00010388920591150579,0.00010388920591150579,9.99990000099999e-06,9.99990000099999e-06
382600,959,959,1039.0,961.0,382600,0.0001040891643179945,0.0001040891643179945,9.99990000099999e-06,9.99990000099999e-06
382700,963,963,1037.0,963.0,382700,0.00010368924742504205,0.00010368924742504205,9.99990000099999e-06,9.99990000099999e-06
382800,955,955,1045.0,955.0,382800,0.0001044890808910469,0.0001044890808910469,9.99990000099999e-06,9.99990000099999e-06
382900,958,958,1042.0,958.0,382900,0.00010418914349124821,0.00010418914349124821,9.99990000099999e-06,9.99990000099999e-06
383000,953,953,1047.0,953.0,383000,0.00010468903905761067,0.00010468903905761067,9.99990000099999e-06,9.99990000099999e-06
383100,956,956,1044.0,956.0,383100,0.0001043891017777744,0.0001043891017777744,9.99990000099999e-06,9.99990000099999e-06
383200,949,949,1051.0,949.0,383200,0.00010508895515081363,0.00010508895515081363,9.99990000099999e-06,9.99990000099999e-06
383300,943,943,1057.0,944.0,383300,0.00010568882869080739,0.00010568882869080739,9.99990000099999e-06,9.99990000099999e-06
383400,949,949,1051.0,949.0,383400,0.00010508895515081363,0.00010508895515081363,9.99990000099999e-06,9.99990000099999e-06
383500,949,949,1051.0,949.0,383500,0.00010508895515081363,0.00010508895515081363,9.99990000099999e-06,9.99990000099999e-06
383600,940,940,1060.0,941.0,383600,0.00010598876519088978,0.00010598876519088978,9.99990000099999e-06,9.99990000099999e-06
383700,933,933,1067.0,933.0,383700,0.00010668861632463818,0.00010668861632463818,9.99990000099999e-06,9.99990000099999e-06
383800,925,925,1075.0,925.0,383800,0.00010748844499216334,0.00010748844499216334,9.99990000099999e-06,9.99990000099999e-06
