Time,N,P
103400,919150399,366742610
103500,916702751,366442977
103600,914266952,366130855
103700,911840111,365814358
103800,909420787,365486821
103900,907014265,365148587
104000,904616452,364801293
104100,902224666,364447585
104200,899846049,364084927
104300,897475172,363714412
104400,895109338,363340107
104500,892761572,362952738
104600,890415754,362562542
104700,888081880,362160203
104800,885757861,361752607
104900,883446114,361332968
105000,881142150,360906824
105100,878848317,360473496
105200,876568864,360029253
105300,874292790,359582983
105400,872034279,359121379
105500,869780205,358655164
105600,867537222,358182972
105700,865304616,357702215
105800,863079321,357220071
105900,860865882,356722289
106000,858661007,356223346
106100,856467037,355714359
106200,854283725,355198662
106300,852109906,354678218
106400,849946613,354145874
106500,847791555,353609355
106600,845650249,353068645
106700,843513860,352522314
106800,841389914,351966509
106900,839272996,351407263
107000,837165140,350840410
107100,835072049,350264519
107200,832986584,349680733
107300,830912145,349095990
107400,828845245,348506250
107500,826792274,347905258
107600,824750572,347296400
107700,822717916,346683546
107800,820693083,346066059
107900,818679777,345440319
108000,816678770,344809219
108100,814686517,344172715
108200,812707662,343525452
108300,810732164,342880660
108400,808766037,342231142
108500,806812136,341575683
108600,804866425,340914243
108700,802933593,340245290
108800,801008492,339573572
108900,799093140,338899297
109000,797189171,338216198
109100,795294716,337529992
109200,793411827,336834635
109300,791538748,336138859
109400,789676459,335432295
109500,787822315,334721962
109600,785975995,334010176
109700,784143547,333292968
109800,782318773,332567708
109900,780502440,331845097
110000,778695515,331118379
110100,776900380,330388072
110200,775116116,329645602
110300,773342779,328904625
110400,771578334,328154294
110500,769824964,327402095
110600,768077380,326651366
110700,766342781,325891119
110800,764618139,325127963
110900,762899464,324363125
111000,761192909,323591228
111100,759494391,322819424
111200,757806223,322043286
111300,756125465,321260112
111400,754460495,320474089
111500,752799157,319688168
111600,751150598,318900391
111700,749510966,318106320
111800,747879497,317310275
111900,746258179,316508250
112000,744649716,315702833
112100,743047006,314894929
112200,741455329,314083290
112300,739869884,313270454
112400,738297958,312450856
112500,736734635,311633723
112600,735181559,310809608
112700,733635814,309984324
112800,732100926,309157019
112900,730574046,308329657
113000,729054037,307499037
113100,727547027,306667426
113200,726050762,305831907
113300,724563212,304990787
113400,723080677,304150345
113500,721606635,303308568
113600,720143849,302461373
113700,718687629,301617362
113800,717246494,300763280
113900,715808852,299914227
114000,714380228,299065025
114100,712963944,298206195
114200,711555477,297348715
114300,710155231,296491119
114400,708766596,295631105
114500,707387347,294766624
114600,706013767,293904924
114700,704647474,293041990
114800,703290581,292175584
114900,701943443,291309605
115000,700609320,290435665
115100,699278538,289562724
115200,697958299,288687652
115300,696644695,287816846
115400,695341327,286945911
115500,694044097,286073502
115600,692757074,285197869
115700,691476801,284320883
115800,690204918,283442667
115900,688943151,282567494
116000,687691772,281686554
116100,686449617,280807962
116200,685214951,279925402
116300,683986990,279040316
116400,682766543,278156969
116500,681552688,277273478
116600,680348479,276389150
116700,679153715,275503887
116800,677966908,274618996
116900,676783975,273736632
117000,675615638,272848806
117100,674451340,271965734
117200,673295458,271080771
117300,672147542,270195368
117400,671007443,269311165
117500,669878592,268423046
117600,668751995,267539463
117700,667638836,266648726
